# candidate-a-restrained  (CANDIDATE)  ok=True  input_hash=d449bd0427b7a85a
  note: CANDIDATE.  No palette derived from this file is a finished/selected theme; Phase 5 produces candidates, Phase 7 (human evaluation) decides.  No winner is selected or ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.6deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 459 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #eae9e8  0.935  0.002    70  0.0018 0.0018 0.0018 0.0000 0.0000 1.00
bg               canvas  authored      #f6f3ed  0.965  0.008    85  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_elevated      surface authored      #fdfbf7  0.988  0.005    85  0.0050 0.0050 0.0050 0.0000 0.0000 1.00
bg_overlay       surface authored      #ffffff  1.000  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #662828  0.367  0.091    22  0.0909 0.0909 0.0909 0.0000 0.0000 1.00
builtin          ink     apca_centre   #7c6463  0.528  0.031    22  0.0314 0.0314 0.0314 0.0000 0.0000 1.00
comment          ink     wcag_floor    #726f6d  0.544  0.004    70  0.0044 0.0044 0.0044 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
constant         ink     apca_centre   #746854  0.524  0.035    82  0.0345 0.0345 0.0345 0.0000 0.0000 1.00
debug_current    surface perceptual_step #ebe0cd  0.910  0.028    82  0.0284 0.0284 0.0284 0.0000 0.0000 1.00
decorator        ink     apca_centre   #6b6967  0.523  0.004    82  0.0040 0.0040 0.0040 0.0000 0.0000 1.00
deprecated       ink     wcag_floor    #6f6f6f  0.543  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
diff_added       surface perceptual_step #e4eddb  0.935  0.025   128  0.0254 0.0254 0.0254 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #ede9e3  0.935  0.009    82  0.0094 0.0094 0.0094 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #ede8e8  0.935  0.005    22  0.0048 0.0048 0.0048 0.0000 0.0000 1.00
docstring        ink     apca_centre   #706e6c  0.541  0.004    70  0.0043 0.0043 0.0043 0.0000 0.0000 1.00
error            ink     apca_centre   #5d2424  0.344  0.085    22  0.0852 0.0852 0.0852 0.0000 0.0000 1.00
fg               ink     apca_centre   #706e6c  0.541  0.004    70  0.0043 0.0043 0.0043 0.0000 0.0000 1.00
fg_muted         ink     wcag_floor    #8f8c8a  0.643  0.005    70  0.0051 0.0051 0.0051 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
fg_secondary     ink     wcag_floor    #726f6d  0.544  0.004    70  0.0044 0.0044 0.0044 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
focus            border  apca_centre   #313f4b  0.361  0.029   244  0.0285 0.0285 0.0285 0.0000 0.0000 1.00
function         ink     apca_centre   #354452  0.380  0.030   244  0.0300 0.0300 0.0300 0.0000 0.0000 1.00
info             ink     apca_centre   #51687a  0.505  0.040   244  0.0399 0.0399 0.0399 0.0000 0.0000 1.00
keyword          ink     apca_centre   #756190  0.531  0.075   304  0.0887 0.0750 0.0750 0.0137 0.0000 0.85
line_number      ink     wcag_floor    #8c8c8c  0.642  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
line_number_active ink     apca_centre   #696969  0.523  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
