# candidate-b-balanced  (CANDIDATE)  ok=True  input_hash=18521825cc8cc25f
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.7deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 426 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #ebe9e7  0.935  0.004    70  0.0035 0.0035 0.0035 0.0000 0.0000 1.00
bg               canvas  authored      #f6f3ed  0.965  0.008    85  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_elevated      surface authored      #fdfbf7  0.988  0.005    85  0.0050 0.0050 0.0050 0.0000 0.0000 1.00
bg_overlay       surface authored      #ffffff  1.000  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #730f22  0.363  0.132    18  0.1322 0.1322 0.1322 0.0000 0.0000 1.00
builtin          ink     apca_centre   #8b5e5e  0.530  0.060    18  0.0600 0.0600 0.0600 0.0000 0.0000 1.00
comment          ink     wcag_floor    #7b6d5f  0.545  0.028    68  0.0339 0.0280 0.0280 0.0059 0.0000 0.83  conflicts=['wcag_apca_conflict']
constant         ink     apca_centre   #826536  0.527  0.074    78  0.0743 0.0743 0.0743 0.0000 0.0000 1.00
debug_current    surface perceptual_step #f6deba  0.910  0.054    78  0.0541 0.0541 0.0541 0.0000 0.0000 1.00
decorator        ink     apca_centre   #746857  0.525  0.031    78  0.0310 0.0310 0.0310 0.0000 0.0000 1.00
deprecated       ink     wcag_floor    #6f6f6f  0.543  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
diff_added       surface perceptual_step #dff0d4  0.935  0.041   134  0.0412 0.0412 0.0412 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #f0e8de  0.935  0.016    78  0.0161 0.0161 0.0161 0.0000 0.0000 1.00
