# candidate-c-expressive  (CANDIDATE)  ok=True  input_hash=b5e62e028117d593
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.67deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 391 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #ebe9e7  0.935  0.004    68  0.0040 0.0040 0.0040 0.0000 0.0000 1.00
bg               canvas  authored      #f6f3ed  0.965  0.008    85  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_elevated      surface authored      #fdfbf7  0.988  0.005    85  0.0050 0.0050 0.0050 0.0000 0.0000 1.00
bg_overlay       surface authored      #ffffff  1.000  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #73002b  0.356  0.142    10  0.1612 0.1612 0.1424 0.0000 0.0187 0.88
builtin          ink     apca_centre   #8d5c63  0.531  0.066    10  0.0658 0.0658 0.0658 0.0000 0.0000 1.00
comment          ink     wcag_floor    #7f6c5c  0.546  0.034    64  0.0425 0.0340 0.0340 0.0085 0.0000 0.80  conflicts=['wcag_apca_conflict']
constant         ink     apca_centre   #836516  0.524  0.099    86  0.0990 0.0990 0.0990 0.0000 0.0000 1.00
debug_current    surface perceptual_step #fdde9a  0.910  0.092    86  0.0923 0.0923 0.0923 0.0000 0.0000 1.00
decorator        ink     apca_centre   #736952  0.524  0.037    86  0.0369 0.0369 0.0369 0.0000 0.0000 1.00
deprecated       ink     wcag_floor    #6f6f6f  0.543  0.000    68  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
diff_added       surface perceptual_step #dff2c4  0.935  0.064   126  0.0637 0.0637 0.0637 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #f1e9d7  0.935  0.025    86  0.0247 0.0247 0.0247 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #f1e6e8  0.935  0.011    10  0.0115 0.0115 0.0115 0.0000 0.0000 1.00
docstring        ink     apca_centre   #7d6b5b  0.541  0.034    64  0.0422 0.0340 0.0340 0.0082 0.0000 0.81
error            ink     apca_centre   #690026  0.334  0.134    10  0.1512 0.1512 0.1336 0.0000 0.0176 0.88
fg               ink     apca_centre   #736d68  0.539  0.010    68  0.0102 0.0102 0.0102 0.0000 0.0000 1.00
fg_muted         ink     wcag_floor    #928c86  0.644  0.012    68  0.0122 0.0122 0.0122 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
fg_secondary     ink     wcag_floor    #746e69  0.543  0.010    68  0.0103 0.0103 0.0103 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
focus            border  apca_centre   #0a4250  0.353  0.059   218  0.0586 0.0586 0.0586 0.0000 0.0000 1.00
function         ink     apca_centre   #004858  0.372  0.067   218  0.0741 0.0741 0.0669 0.0000 0.0072 0.90
info             ink     apca_centre   #176d82  0.497  0.083   218  0.0825 0.0825 0.0825 0.0000 0.0000 1.00
keyword          ink     apca_centre   #a139b4  0.543  0.200   321  0.2391 0.2000 0.2000 0.0391 0.0000 0.84
line_number      ink     wcag_floor    #8c8c8c  0.642  0.000    68  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
line_number_active ink     apca_centre   #696969  0.523  0.000    68  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #58746e  0.535  0.033   182  0.0330 0.0330 0.0330 0.0000 0.0000 1.00
number           ink     apca_centre   #836516  0.524  0.099    86  0.0990 0.0990 0.0990 0.0000 0.0000 1.00
operator         ink     apca_centre   #6e6e6e  0.540  0.000    68  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #736d68  0.539  0.010    68  0.0102 0.0102 0.0102 0.0000 0.0000 1.00
property         ink     apca_centre   #696f71  0.539  0.008   218  0.0083 0.0083 0.0083 0.0000 0.0000 1.00
