# calibration-experiment  (NON-CANDIDATE)  ok=True  input_hash=364f6f20e42cae29
  note: NON-CANDIDATE. Systematic-transform calibration only. Comparison target is themes/experiments/handtuned-*.yaml (also NON-CANDIDATE). No palette here is final; see DESIGN.md section 1 and section 9 ("Phase 4 will test whether this works").
  stability: ok=True  max_hue_drift=5.85deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 430 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #ebe9e9  0.935  0.003     0  0.0026 0.0026 0.0026 0.0000 0.0000 1.00
bg               canvas  authored      #f6f3ed  0.965  0.008    85  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_elevated      surface authored      #fdfbf7  0.988  0.005    85  0.0050 0.0050 0.0050 0.0000 0.0000 1.00
bg_overlay       surface authored      #ffffff  1.000  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #721518  0.364  0.127    25  0.1270 0.1270 0.1270 0.0000 0.0000 1.00
builtin          ink     apca_centre   #8a5e5b  0.529  0.058    25  0.0580 0.0580 0.0580 0.0000 0.0000 1.00
comment          ink     wcag_floor    #8a5e6b  0.532  0.061     0  0.0606 0.0606 0.0606 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
constant         ink     apca_centre   #7d6641  0.524  0.060    80  0.0601 0.0601 0.0601 0.0000 0.0000 1.00
debug_current    surface perceptual_step #f2dfbf  0.910  0.047    80  0.0466 0.0466 0.0466 0.0000 0.0000 1.00
decorator        ink     apca_centre   #736857  0.524  0.029    80  0.0294 0.0294 0.0294 0.0000 0.0000 1.00
deprecated       ink     wcag_floor    #6f6f6f  0.543  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
diff_added       surface perceptual_step #ddf0dd  0.935  0.032   145  0.0321 0.0321 0.0321 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #efe9de  0.935  0.016    80  0.0162 0.0162 0.0162 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #efe7e6  0.935  0.009    25  0.0089 0.0089 0.0089 0.0000 0.0000 1.00
docstring        ink     apca_centre   #8e626f  0.547  0.060     0  0.0600 0.0600 0.0600 0.0000 0.0000 1.00
error            ink     apca_centre   #6a010c  0.332  0.133    25  0.1334 0.1334 0.1334 0.0000 0.0000 1.00
fg               ink     apca_centre   #786b6f  0.542  0.016     0  0.0162 0.0162 0.0162 0.0000 0.0000 1.00
fg_muted         ink     wcag_floor    #99898d  0.647  0.019     0  0.0193 0.0193 0.0193 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
fg_secondary     ink     wcag_floor    #796c70  0.546  0.016     0  0.0163 0.0163 0.0163 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
focus            border  apca_centre   #1f3f5a  0.358  0.060   245  0.0598 0.0598 0.0598 0.0000 0.0000 1.00
function         ink     apca_centre   #29455d  0.381  0.053   245  0.0531 0.0531 0.0531 0.0000 0.0000 1.00
info             ink     apca_centre   #40698a  0.504  0.070   245  0.0703 0.0703 0.0703 0.0000 0.0000 1.00
keyword          ink     apca_centre   #7658b6  0.536  0.143   296  0.1427 0.1427 0.1427 0.0000 0.0000 1.00
line_number      ink     wcag_floor    #8c8c8c  0.642  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
line_number_active ink     apca_centre   #696969  0.523  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #5e7272  0.537  0.025   195  0.0248 0.0248 0.0248 0.0000 0.0000 1.00
number           ink     apca_centre   #7d6641  0.524  0.060    80  0.0601 0.0601 0.0601 0.0000 0.0000 1.00
operator         ink     apca_centre   #6e6e6e  0.540  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #786b6f  0.542  0.016     0  0.0162 0.0162 0.0162 0.0000 0.0000 1.00
property         ink     apca_centre   #786b6f  0.542  0.016     0  0.0162 0.0162 0.0162 0.0000 0.0000 1.00
punctuation      ink     wcag_floor    #6f6f6f  0.543  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
search_match     surface perceptual_step #f2dfbf  0.910  0.047    80  0.0466 0.0466 0.0466 0.0000 0.0000 1.00
search_match_current surface perceptual_step #fad391  0.885  0.094    80  0.0937 0.0937 0.0937 0.0000 0.0000 1.00
selection        surface perceptual_step #dbe2e9  0.910  0.013   245  0.0127 0.0127 0.0127 0.0000 0.0000 1.00
string           ink     apca_centre   #49734a  0.513  0.079   145  0.0794 0.0794 0.0794 0.0000 0.0000 1.00
success          ink     apca_centre   #416f43  0.498  0.087   145  0.0866 0.0866 0.0866 0.0000 0.0000 1.00
tag              ink     apca_centre   #596c7e  0.523  0.036   245  0.0357 0.0357 0.0357 0.0000 0.0000 1.00
type             ink     apca_centre   #457171  0.518  0.049   195  0.0489 0.0489 0.0489 0.0000 0.0000 1.00
ui_inactive      border  wcag_floor    #8c8c8c  0.642  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00  conflicts=['wcag_apca_conflict']
warning          ink     apca_centre   #513806  0.361  0.071    80  0.0708 0.0708 0.0708 0.0000 0.0000 1.00

## variant evening
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #282425  0.265  0.005     0  0.0055 0.0055 0.0055 0.0000 0.0000 1.00
bg               canvas  authored      #1c1e23  0.235  0.010   265  0.0100 0.0100 0.0100 0.0000 0.0000 1.00
bg_elevated      surface authored      #25282d  0.275  0.011   265  0.0110 0.0110 0.0110 0.0000 0.0000 1.00
bg_overlay       surface authored      #2c2f35  0.305  0.012   265  0.0120 0.0120 0.0120 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #f4d2ce  0.890  0.039    25  0.0386 0.0386 0.0386 0.0000 0.0000 1.00
builtin          ink     apca_centre   #d0bfbd  0.817  0.020    25  0.0198 0.0198 0.0198 0.0000 0.0000 1.00
comment          ink     apca_centre   #aa8992  0.665  0.042     0  0.0418 0.0418 0.0418 0.0000 0.0000 1.00
constant         ink     apca_centre   #dabf92  0.816  0.067    79  0.0665 0.0665 0.0665 0.0000 0.0000 1.00
debug_current    surface perceptual_step #322a1d  0.290  0.025    80  0.0254 0.0254 0.0254 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cec1ab  0.815  0.033    79  0.0325 0.0325 0.0325 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #999999  0.681  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #202820  0.265  0.018   144  0.0175 0.0175 0.0175 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #28251f  0.265  0.011    80  0.0112 0.0112 0.0112 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #2f2120  0.265  0.022    25  0.0219 0.0219 0.0219 0.0000 0.0000 1.00
